Sales Rep ID,Number of Leads Handled,Number of Successful Conversions,Total Sales Value
356,25,43,17983.56
383,87,10,15595.58
303,99,27,7939.99
392,30,23,13245.62
339,45,41,5312.56
317,23,10,13565.1
397,58,13,17119.8
345,72,42,12397.53
363,31,22,15069.97
393,87,10,14548.86
378,33,49,10738.09
372,48,15,6825.41
309,33,22,12201.41
372,44,18,17117.98
382,65,49,11889.14
391,52,13,7209.88
352,14,10,5077.45
329,18,37,7290.22
368,60,34,13232.98
309,60,26,9191.12
391,69,44,10102.93
381,54,19,10116.95
378,45,15,6250.71
337,91,33,19818.58
312,65,10,15620.59
329,90,37,5844.48
337,63,12,15807.22
307,63,49,9605.93
352,54,27,11127.21
363,23,12,5924.43
383,97,13,19956.18
361,36,9,7790.96
323,84,40,15365.66
335,100,26,13504.03
349,56,14,8245.16
307,98,14,12618.04
357,81,44,13686.97
383,22,43,17002.99
304,41,5,18597.35
339,57,12,9892.72
376,35,12,14553.28
320,79,44,14999.22
372,89,12,12153.72
306,58,44,6973.55
316,76,11,12478.57
317,91,10,9506.97
315,61,47,16834.87
323,98,25,7769.4
322,18,35,17740.11
349,27,32,19928.45
389,87,42,18843.26
386,97,38,14573.08
381,43,45,8146.83
323,74,19,19323.07
352,97,18,10927.2
356,19,9,6262.61
310,98,27,5326.11
379,31,22,15200.0
330,22,36,5034.15
368,58,12,16851.84
343,27,37,14075.63
354,61,35,15885.5
332,41,39,9867.96
399,97,8,14518.61
311,23,36,8509.9
326,15,13,7158.41
338,89,31,13770.65
370,36,9,11902.08
342,26,21,14610.07
309,68,35,18831.95
363,83,45,10512.54
363,79,19,13797.12
381,52,12,7305.93
363,61,49,8851.34
368,49,38,8252.01
344,96,20,12175.15
347,86,5,19215.07
311,75,43,11091.28
356,48,26,14377.59
383,48,25,12916.15
316,50,39,11152.23
312,57,11,7379.33
311,49,49,10345.79
312,38,35,13152.45
355,78,17,8381.31
376,54,21,9687.58
315,89,44,16459.77
352,97,11,12684.53
355,43,21,8504.06
327,60,22,11706.79
365,45,50,10097.97
306,21,21,16173.28
335,41,39,12135.31
313,31,47,16499.1
382,57,36,18181.48
399,41,37,6123.78
399,43,39,7942.52
344,94,19,12971.83
311,37,20,18727.1
337,46,23,10791.99
389,24,7,12542.93
394,38,22,7967.11
383,65,45,12300.25
345,18,21,5297.15
386,71,38,11749.32
346,40,42,19379.81
321,15,49,19877.26
332,86,33,13457.22
335,65,21,13972.75
336,15,47,5126.31
392,95,39,15268.01
317,87,47,11398.18
379,29,38,17117.28
310,54,15,13114.79
360,49,20,13671.8
363,12,46,17377.39
309,19,7,18174.31
393,49,16,16300.53
345,95,33,16282.13
335,79,20,17764.29
395,29,31,8219.57
376,93,31,15147.26
379,36,27,7058.65
356,52,38,10411.57
369,21,8,10114.43
336,48,42,19291.16
346,69,41,14185.5
373,77,23,13580.3
353,44,22,16062.57
369,10,41,7439.42
330,48,35,11352.56
320,69,5,6075.72
337,36,36,19977.64
303,76,23,11589.13
334,24,24,12305.88
389,41,40,8249.54
309,25,36,9158.65
316,90,21,12974.65
321,63,30,13786.74
373,76,33,18377.82
308,34,40,18805.24
311,30,12,16455.59
330,90,13,17069.9
379,34,43,9155.05
341,31,5,19379.52
370,35,23,15717.39
374,37,48,9663.97
352,97,34,8591.58
354,95,9,12743.02
340,44,12,16236.31
340,76,39,13136.96
324,13,12,5275.3
340,24,22,16847.83
363,50,44,7276.8
376,96,30,7637.64
385,67,45,12079.63
345,20,22,9438.22
345,39,42,11484.37
328,10,5,18806.23
341,32,32,14001.1
365,80,20,18857.53
388,53,12,13048.52
347,70,6,15775.07
384,17,5,17582.97
360,82,20,5116.15
313,57,35,16708.06
354,91,29,9250.53
383,78,30,7253.0
396,90,12,8062.27
383,59,39,13111.7
320,10,34,18455.35
309,84,47,7841.62
341,41,33,14265.47
302,74,36,15669.43
315,18,19,10460.56
317,10,8,18706.74
302,28,7,6723.83
305,77,15,19241.8
311,23,41,14141.34
303,95,44,5822.63
362,24,28,6107.4
306,87,39,7212.59
322,94,37,8699.57
328,42,39,16644.57
377,60,11,13142.73
307,12,8,10546.31
352,84,5,17371.53
323,38,27,5252.17
366,16,20,10822.13
367,91,9,15088.56
331,97,13,9739.42
384,20,9,13205.6
389,44,29,14271.18
335,33,49,15892.27
339,66,37,17401.47
307,64,38,8340.87
355,27,28,18285.59
356,40,35,14568.54
380,81,38,9634.53
370,52,50,19287.09
384,28,33,12404.87
330,36,30,7894.97
361,66,49,6041.78
328,72,28,10660.47
311,11,48,9901.93
310,62,44,10092.41
394,47,46,7370.88
364,43,46,17458.33
355,86,15,15097.37
395,96,24,19419.19
347,74,41,11328.94
350,23,13,14324.09
389,54,48,13299.11
371,85,14,15010.44
365,24,23,18242.65
302,79,17,6067.69
365,79,20,11748.29
314,37,27,19402.27
319,57,43,15126.53
332,18,8,19002.04
376,41,34,6572.27
394,56,26,14693.23
