Customer ID,Support Ticket ID,Issue Category,Resolution Time,Customer Satisfaction Score
11968,49454,billing,43,2
12177,45127,billing,39,5
14723,42201,technical,37,4
15469,47795,billing,18,1
13600,49932,technical,26,1
17361,49012,billing,36,1
12262,47289,technical,18,5
16842,42971,billing,6,5
13920,46283,technical,11,1
19796,44329,billing,28,1
13854,41068,billing,37,4
11312,42048,billing,20,1
11941,43564,billing,17,2
11563,43937,technical,38,3
10320,46329,billing,21,3
10736,45908,technical,36,4
12781,43856,billing,18,5
10196,41366,billing,41,1
10266,41027,billing,35,1
15899,42122,technical,2,2
16038,44393,technical,37,5
16218,46185,technical,36,2
15882,42476,technical,29,2
19642,44360,billing,39,5
19219,40641,billing,17,5
17257,45025,billing,3,1
10180,40828,billing,8,3
19955,42966,technical,25,1
10996,41862,billing,5,5
16851,48262,technical,10,5
17760,42588,technical,17,2
13911,44645,billing,46,2
19684,45615,billing,27,3
19185,40681,billing,10,1
17480,42785,billing,8,5
16774,48113,billing,33,5
13830,43762,technical,37,4
10466,46843,technical,32,1
19853,48962,technical,31,5
18159,47152,billing,21,1
11480,40257,technical,47,3
10166,41130,technical,24,4
16756,45560,billing,23,1
11086,47614,technical,34,5
10497,49670,billing,31,2
17991,44823,technical,48,3
12033,40782,billing,41,2
16312,43678,technical,11,4
16868,43587,billing,10,5
13827,48781,billing,4,4
19842,48079,technical,5,3
11517,43741,billing,39,5
18585,49642,technical,16,4
10829,49948,technical,18,1
19467,46939,technical,11,3
16526,42927,technical,33,5
15845,41269,technical,37,3
17070,43130,billing,36,4
16194,42176,billing,21,2
13181,41846,billing,13,4
18253,42466,billing,27,2
15310,41183,billing,46,3
19492,41592,technical,47,1
10763,45180,billing,20,3
16484,44808,technical,14,2
17409,49432,technical,1,2
17944,48456,billing,14,1
14856,49048,billing,46,2
13444,48301,billing,22,4
14530,45023,technical,39,4
16953,47530,billing,22,1
14677,41909,billing,48,3
15594,44808,billing,29,5
13381,40823,technical,37,2
16282,43147,billing,19,3
19969,45757,technical,34,5
10947,49736,billing,25,3
13709,42821,billing,43,1
10876,48861,technical,10,2
15688,44986,billing,29,5
15231,45460,technical,21,1
10729,42618,billing,30,2
13296,48382,billing,29,1
17707,44085,billing,45,3
15814,40426,technical,24,1
17534,49005,technical,16,2
13716,40809,billing,37,4
11799,48023,technical,23,5
12444,41365,technical,44,4
11007,48148,billing,27,3
11096,43301,billing,1,2
17766,49323,technical,40,1
19236,47084,billing,44,1
19829,44701,billing,24,4
11360,41885,technical,32,2
14547,40508,billing,38,2
18916,48511,billing,34,1
17400,46125,billing,45,4
19021,43525,billing,43,5
10965,41509,billing,2,4
16827,42070,technical,23,1
10402,42441,technical,35,3
11799,42075,billing,19,2
17725,47383,billing,12,2
15598,49993,technical,1,2
12914,46297,billing,28,3
14253,44312,technical,17,3
11926,48936,technical,44,5
11172,47294,technical,2,1
18685,44867,billing,24,1
14322,49676,technical,11,3
14679,45767,billing,39,4
14558,48099,billing,33,4
12173,41599,billing,24,5
17622,45858,technical,1,4
15155,41874,billing,39,1
10800,41788,technical,9,4
14304,40650,billing,7,4
13188,43172,technical,45,2
19531,45493,technical,35,2
13802,48401,technical,45,5
10548,41826,billing,46,5
18566,43738,technical,37,3
15536,43168,billing,48,3
19953,47501,billing,35,2
11106,41781,billing,29,5
16848,42359,technical,3,2
11489,49180,technical,26,3
12259,47506,billing,7,5
16279,40267,technical,6,1
15195,44013,technical,27,4
12137,41309,technical,36,4
14877,45892,technical,31,2
15290,44299,billing,43,4
12559,44343,technical,38,4
17368,47730,billing,36,1
19935,45236,billing,12,1
19373,44989,billing,43,3
11464,47661,technical,44,5
12578,41730,billing,23,1
14222,46066,billing,41,1
11404,41808,billing,23,5
11150,48418,billing,34,5
18182,41707,billing,27,5
15428,46031,billing,32,2
18001,44154,technical,12,4
11168,40508,technical,15,4
18819,43755,billing,19,2
14138,40809,billing,15,1
16245,44278,technical,31,3
15829,47822,billing,22,4
18533,44013,technical,46,2
15117,49424,technical,25,1
12535,48641,technical,44,5
12496,45136,technical,9,3
16512,42730,technical,32,4
14417,47022,technical,4,2
10780,48413,technical,18,4
18616,47425,billing,25,2
10733,45137,technical,48,3
13245,41580,technical,18,3
12659,42889,billing,7,5
14766,41013,technical,29,4
18375,40489,billing,24,5
16313,45754,technical,24,4
14101,44339,billing,15,5
11933,43765,billing,27,4
11707,41898,billing,45,3
15941,41582,technical,7,5
17644,43745,billing,1,5
12996,42217,billing,37,4
19519,46586,billing,15,5
18880,48235,technical,40,4
10544,44357,technical,48,3
15281,47151,technical,37,5
19749,40049,billing,40,3
19474,41341,billing,39,2
16712,41496,technical,6,3
11193,41340,technical,10,2
10474,44628,technical,25,4
16671,46466,technical,16,3
16607,45394,technical,21,5
10092,42833,technical,15,3
13328,46358,billing,13,1
14481,42920,billing,37,2
14265,47955,billing,46,2
13607,48544,technical,25,5
16275,42948,technical,21,2
19638,41596,technical,1,3
18174,44463,billing,23,2
15758,44405,billing,7,1
18717,42953,technical,29,4
13281,49951,billing,42,4
13784,46286,technical,35,1
14587,49823,billing,26,5
14475,48282,technical,37,1
16052,45584,billing,24,2
15941,45725,technical,41,1
11543,49245,technical,42,2
14959,46921,billing,16,2
19214,45903,billing,10,5
18723,46890,technical,8,3
19796,43085,technical,43,1
10500,45349,technical,12,5
18839,46060,technical,29,4
14726,42410,billing,21,1
14560,48750,billing,42,2
11252,45180,technical,31,2
10849,42589,technical,46,2
16023,44574,billing,46,2
17963,42648,billing,21,3
11266,42304,technical,24,1
12772,46175,technical,37,1
10698,47132,billing,14,5
10864,41048,billing,23,4
11423,41800,billing,29,4
15025,40107,technical,41,2
18898,46594,technical,25,2
12682,48003,technical,34,2
10448,46735,billing,4,5
12522,47111,billing,3,4
14155,43936,billing,45,2
11376,49621,billing,44,4
14691,44947,technical,11,3
12505,49274,billing,31,1
10899,42174,technical,3,2
17775,43013,billing,41,5
18875,40629,billing,1,3
18229,41938,billing,41,1
10247,40737,technical,43,3
14566,47985,technical,7,4
11419,45657,billing,7,5
17108,44066,technical,14,3
19262,41224,billing,43,3
11161,47049,billing,10,3
16606,47925,billing,20,1
17998,49018,billing,11,3
14648,46660,technical,9,4
16495,48000,billing,47,1
11677,44620,technical,33,4
16981,41376,billing,4,2
19787,48819,technical,26,1
12548,46994,billing,11,1
18900,40797,billing,37,1
13331,47474,technical,29,1
14865,42722,technical,19,5
12076,42740,billing,23,5
19981,40804,technical,29,4
16996,41454,technical,17,5
17048,47948,technical,32,1
10338,44840,billing,28,4
13956,48953,billing,44,3
12627,45139,technical,4,1
14379,43780,technical,5,4
12192,48357,technical,7,5
14116,43310,billing,35,3
13391,44879,technical,6,4
19947,44947,billing,2,3
17955,43449,billing,37,1
19534,47593,billing,31,1
18621,42436,technical,32,3
12030,48907,technical,19,5
10947,47262,technical,25,4
18057,48505,technical,11,1
16334,42269,billing,22,4
17168,40804,technical,3,4
12725,43176,billing,15,1
16441,49842,technical,1,2
10289,48942,billing,18,1
17914,41004,billing,34,2
12004,44081,technical,1,5
14346,45476,billing,9,3
17178,41106,technical,2,3
19892,43483,technical,3,3
16372,47983,technical,7,5
13367,49578,billing,9,1
12620,40613,technical,31,4
19245,42991,billing,29,3
19419,43245,billing,28,1
13790,49634,technical,35,2
15066,45331,technical,32,3
13461,40857,technical,26,4
19121,47044,technical,36,5
17996,47122,technical,10,4
19726,42144,technical,3,2
11859,46737,technical,28,2
19615,46096,technical,4,1
14120,47594,billing,38,5
17723,46752,billing,34,1
15491,42847,billing,27,4
13876,43366,billing,43,5
16416,49623,technical,11,1
15543,40143,technical,16,5
18485,44227,billing,33,4
15737,41777,technical,10,1
19407,49435,technical,13,2
14638,42038,billing,21,5
17440,45373,technical,19,4
10437,41150,technical,16,5
12981,47808,billing,41,2
10908,46694,billing,33,2
11259,48523,technical,46,2
18348,45119,technical,43,3
19047,45295,billing,41,3
12333,46623,billing,35,3
17808,47409,billing,2,1
15105,45606,technical,32,5
11050,42553,billing,23,3
17839,47946,technical,21,3
19666,40558,billing,36,3
12401,47278,billing,43,5
11832,40547,technical,29,2
14529,48091,billing,44,2
17404,48283,billing,39,4
16102,42123,technical,47,5
12538,40523,billing,48,3
11787,41974,billing,10,2
14530,42107,billing,13,2
10791,46294,billing,28,3
11138,49095,technical,38,1
14593,49363,technical,4,4
11456,45134,billing,28,5
15846,49716,technical,31,4
18054,43379,billing,42,4
12069,43737,technical,46,5
14407,41532,technical,25,4
10418,48670,technical,35,1
18307,49650,technical,20,3
13208,46285,billing,22,3
18830,42884,billing,2,3
11066,47372,billing,24,4
17150,46241,technical,5,2
14325,44928,technical,7,1
16285,41647,billing,19,1
18150,43852,billing,6,1
18647,41579,billing,43,1
10777,45585,billing,19,4
10369,48440,billing,31,3
11956,42453,technical,37,5
15035,48940,billing,11,4
11937,46011,technical,17,2
15035,48542,billing,34,3
15520,44724,billing,37,4
15681,45429,technical,46,5
10951,42299,billing,36,3
15110,40599,technical,21,2
15848,44478,technical,8,1
16218,42594,billing,6,4
14699,47074,technical,12,3
12458,47388,billing,32,5
10887,49107,billing,10,3
15079,48978,billing,40,5
16174,46675,technical,6,2
19359,42250,billing,29,5
19349,42304,billing,8,4
17975,41805,technical,35,5
18513,41783,billing,43,4
13218,44972,technical,45,5
14866,41673,billing,27,5
11751,43572,technical,27,5
11175,43028,technical,45,5
15902,43124,technical,31,3
13834,46532,technical,30,1
12318,40126,technical,10,2
14430,45270,billing,23,3
12761,45691,billing,9,1
11034,48569,billing,46,4
12544,47408,billing,26,1
17346,43810,billing,10,4
16024,48348,billing,46,4
18259,40459,billing,28,3
13988,49537,technical,2,5
15543,45257,technical,24,5
19958,46334,billing,4,5
15446,42412,technical,47,2
16163,46009,billing,41,5
18728,46333,billing,43,1
19815,43868,billing,14,1
13843,49828,billing,19,5
18117,40500,technical,20,1
10905,44175,billing,22,3
18484,43389,technical,45,2
19437,40008,technical,9,5
19069,45855,billing,2,2
15210,43572,technical,3,3
11726,45784,technical,39,1
19637,43547,technical,11,5
19411,43210,billing,9,3
17446,46747,billing,29,4
17865,49153,technical,32,3
18794,43497,billing,45,4
19796,41662,technical,17,2
14109,42501,technical,2,5
13592,47017,billing,19,3
14703,47881,technical,5,2
14239,43899,technical,38,1
13194,47139,technical,38,4
10635,40251,technical,1,2
10700,44127,billing,34,2
14562,45258,technical,47,2
19082,49339,technical,48,1
10083,48736,technical,40,5
16632,45546,billing,27,5
19723,41472,billing,1,2
13134,43974,billing,43,2
19248,44502,technical,4,1
11228,40131,billing,41,1
11322,49453,technical,10,5
12081,47669,technical,43,3
19027,49319,technical,26,2
10757,42906,technical,32,3
15475,44311,technical,30,4
11943,44867,billing,12,2
18358,46869,billing,38,4
19306,47782,billing,6,3
16192,45636,billing,26,3
15224,42196,billing,34,5
13846,48661,technical,4,3
15967,45692,technical,33,1
11017,40276,billing,22,4
17113,48913,technical,33,4
14301,44830,technical,38,3
19455,46561,billing,14,2
17181,49804,billing,45,5
15861,47746,billing,44,1
10352,43893,billing,2,5
17535,45245,technical,2,3
18977,41607,technical,21,5
17705,41065,billing,24,2
11391,42356,technical,10,1
16069,41113,billing,30,2
18522,43966,billing,24,2
16977,44914,technical,21,2
12127,47585,technical,28,3
12230,45807,billing,2,4
18028,43664,technical,4,1
15201,42441,billing,15,1
14111,40676,technical,41,2
12235,47290,technical,37,4
15807,44393,technical,27,5
17637,44229,technical,12,4
13102,47853,billing,44,1
15498,42229,technical,30,2
16139,43192,billing,43,2
17086,45173,technical,38,5
18906,42028,technical,10,4
14982,40585,billing,3,5
15231,41951,technical,30,1
10199,43014,billing,30,4
12196,43907,technical,36,2
17114,49418,technical,43,5
18467,44352,billing,43,3
19163,42034,billing,9,2
11390,48408,technical,15,4
18680,47638,technical,8,3
16527,49649,billing,16,2
16959,47996,technical,10,1
11641,46837,technical,29,4
18968,44289,technical,7,1
12352,49739,technical,6,2
18442,48128,billing,12,5
13604,41810,technical,44,2
18566,49962,billing,6,1
13320,40441,technical,12,4
10996,40920,billing,19,5
13174,45354,technical,46,1
17249,43166,billing,3,1
14382,49335,technical,32,3
14470,43877,technical,37,4
11582,45477,billing,19,3
17055,44964,billing,28,4
18307,45118,billing,34,5
13371,44964,technical,33,4
12112,45690,technical,14,3
10316,40863,technical,20,3
10490,48267,technical,3,5
18297,45507,billing,29,5
12609,46238,technical,22,2
16211,40927,technical,24,5
13626,45676,technical,16,3
16580,44016,technical,46,3
13489,40950,technical,10,3
10972,40034,technical,43,2
11903,41747,technical,27,1
15711,48713,billing,16,2
17520,46083,technical,41,2
12740,42573,technical,30,2
13922,40436,technical,27,4
10282,41309,technical,29,4
18313,41353,technical,12,1
15739,47114,technical,10,2
18195,40250,technical,45,3
18770,49031,technical,4,2
19935,45717,technical,30,1
16388,45432,technical,34,4
15412,45293,billing,20,2
10280,46275,billing,43,5
17269,43855,billing,38,5
12414,40477,billing,21,1
11985,41824,billing,23,2
11119,46062,technical,6,2
10731,45360,technical,10,2
18188,47260,technical,29,4
12022,42437,billing,2,1
12340,40323,billing,14,2
15160,40008,billing,16,5
13327,44628,billing,28,2
16946,48763,billing,1,4
12647,45731,technical,3,4
19061,47365,technical,28,1
19623,44371,billing,20,2
18086,49885,billing,37,3
13281,44781,billing,13,1
19632,40035,technical,24,3
12964,40138,technical,48,4
17994,43734,billing,14,2
11288,47051,billing,41,5
15745,48528,billing,40,2
16605,40699,technical,35,5
14530,40049,billing,2,4
19726,40975,technical,21,3
18188,48241,billing,1,2
19880,49166,billing,14,1
17099,46835,billing,20,4
12502,40022,billing,2,3
17462,48648,billing,45,2
15050,42510,billing,25,4
11934,47834,technical,40,2
11569,42508,technical,25,2
14037,45318,billing,36,4
10437,41723,technical,24,2
18099,46244,billing,21,4
19171,48900,billing,18,2
12439,40747,billing,28,4
12910,42827,technical,46,5
17453,49657,billing,18,2
18550,44077,billing,33,5
17774,47461,technical,33,4
15945,44217,technical,13,1
14158,45073,billing,3,3
15290,46712,technical,19,1
19909,45070,billing,37,1
16672,45940,technical,3,2
13114,46777,billing,21,5
13595,40304,technical,29,3
10220,47339,billing,44,4
17490,49393,technical,29,3
17086,49869,billing,36,2
11824,43823,billing,43,4
12479,46495,technical,26,5
16860,41515,billing,47,4
19563,49777,technical,41,5
16398,43276,billing,24,4
14589,40534,technical,48,4
11449,45187,technical,45,1
14986,44195,billing,39,5
18425,45795,billing,8,2
16601,44404,technical,16,4
17260,42421,billing,35,3
15935,46760,billing,15,2
19314,41190,technical,8,4
17906,42015,billing,37,2
16366,49394,billing,21,4
11231,44003,billing,1,2
12547,47150,billing,44,4
13095,41714,billing,1,5
12548,47241,technical,1,5
11481,42048,technical,40,2
17104,45566,billing,35,3
16375,41844,technical,34,3
14025,44901,technical,43,3
11898,49909,billing,11,1
12240,44520,billing,15,2
13779,47270,technical,12,3
10321,40652,billing,13,1
13935,47502,technical,6,5
11308,46074,billing,39,1
11414,40380,billing,22,1
15688,43563,technical,7,1
15467,40191,technical,21,1
13569,42998,technical,21,1
19654,41571,technical,33,5
16680,41225,billing,28,5
10239,49369,technical,30,3
16032,43299,technical,39,1
10294,41068,billing,23,1
16978,46894,billing,34,5
13531,41601,billing,17,3
11280,41296,billing,15,4
17313,48814,billing,23,1
17131,40722,technical,11,2
17311,49714,technical,12,4
18971,41667,billing,22,3
15855,47751,billing,13,1
14744,46328,technical,47,3
18013,48685,billing,2,3
10433,40692,technical,29,1
16035,46245,technical,46,4
18583,42762,technical,36,2
11074,41655,technical,12,1
15983,43306,technical,19,5
15735,49521,technical,9,3
13183,49195,technical,46,1
11980,43995,billing,37,3
14923,43956,technical,25,5
19309,42917,billing,25,1
18875,41471,technical,33,2
16000,49981,technical,8,1
10673,48889,technical,47,2
12123,43853,technical,41,5
10005,44090,technical,40,4
17498,45619,technical,20,3
16889,46762,billing,7,1
16238,46772,technical,21,2
12145,46632,billing,25,5
19645,45911,billing,26,5
15518,45049,technical,43,3
18649,40229,billing,35,4
16816,40192,billing,40,5
14199,44450,billing,11,4
10764,48750,billing,20,1
14215,46723,billing,38,4
11819,44223,technical,20,5
14105,43284,billing,31,5
11367,46802,technical,47,4
11426,49011,billing,29,3
14258,49131,billing,26,3
14265,43042,billing,20,5
10714,45009,billing,26,2
18146,47439,billing,12,3
11651,49993,billing,41,4
18924,45849,billing,42,4
17777,48384,billing,1,2
14377,40336,billing,19,1
13390,49328,billing,12,2
10940,48158,technical,10,3
16314,41115,billing,6,2
14791,49993,technical,6,4
18569,46969,billing,16,3
14904,47641,billing,40,5
10074,40947,billing,24,4
10570,48925,billing,43,5
13269,40164,billing,14,4
10096,42747,billing,1,1
17140,42543,billing,39,3
19331,41547,billing,41,5
14387,46848,billing,42,3
16604,43200,billing,39,3
16101,47985,technical,26,5
18358,43534,technical,20,3
10071,43196,technical,41,4
12822,41947,technical,9,5
18761,40982,technical,23,5
19794,45552,technical,14,4
11613,43987,billing,23,3
10134,40023,technical,31,2
18380,40133,technical,4,1
15250,41826,billing,38,5
16982,42876,billing,15,4
10188,40258,billing,32,5
10112,44390,technical,41,3
14532,40428,billing,28,5
11387,48371,technical,20,3
19333,41736,technical,39,1
16125,47724,technical,37,5
14493,47177,technical,26,4
12475,44556,billing,1,1
11259,43897,billing,38,3
13731,42396,technical,26,4
10794,41271,billing,5,3
18145,44988,technical,32,2
18420,46272,billing,19,5
18899,46430,technical,21,1
16851,40331,billing,21,1
18320,42270,billing,45,3
14383,44096,technical,30,5
19516,41952,billing,3,3
13911,45181,billing,32,3
17385,47856,billing,7,1
18675,48447,billing,38,4
12257,48423,technical,19,1
14461,46096,billing,26,2
16281,43776,technical,5,5
12480,47923,billing,23,1
16652,41833,billing,45,3
13790,44876,technical,27,2
13823,43787,billing,10,1
12725,41351,technical,48,4
13401,45111,billing,41,4
19058,44789,billing,6,1
18153,47459,technical,24,1
13026,46057,technical,41,5
11067,47196,billing,35,5
17083,41733,technical,4,4
15975,43348,technical,10,5
15445,45971,technical,9,5
14799,49927,billing,41,4
11358,40297,technical,16,3
18115,47332,billing,5,2
11320,48537,billing,19,5
17100,47212,technical,44,5
18202,46746,technical,5,3
15772,40771,technical,26,3
15974,45732,billing,18,1
11536,41994,billing,43,3
10927,42108,billing,18,3
11363,46452,technical,23,5
13649,44215,technical,29,4
14248,43153,billing,14,1
17696,45631,technical,31,4
18994,42614,billing,32,1
13530,48798,technical,12,5
14550,48721,billing,36,2
17160,40167,technical,19,2
13758,48176,billing,40,2
13012,45863,technical,7,2
15857,40438,billing,40,3
10353,42441,billing,26,4
15014,42846,billing,5,5
19097,43639,billing,29,4
14639,46898,technical,2,2
13246,44289,billing,42,3
10989,41033,billing,15,1
13166,43391,billing,12,5
14251,48478,technical,36,4
