Transaction ID,Product ID,Product Category,Sales Date,Revenue,Customer ID,Customer Age,Location,Industry,Customer Since,Lead ID,Lead Source,Lead Conversion Date,Lead Score,Sales Rep ID,Number of Leads Handled,Number of Successful Conversions,Total Sales Value,Support Ticket ID,Issue Category,Resolution Time,Customer Satisfaction Score
4669,147,cloud storage,2022-07-09 01:24:58,3132.68,11968,24,Europe,Finance,2021-07-26 07:26:59,26464,email marketing,2022-02-06 14:58:15,10,364,92,10,19431.41,49454,billing,43,2
1989,150,CRM software,2020-04-25 05:58:57,4683.95,12177,21,Asia,Healthcare,2020-02-28 23:18:19,26092,social media,2020-04-20 16:37:50,6,322,20,40,5298.87,45127,billing,39,5
4261,170,cloud storage,2021-08-17 22:44:01,2933.54,14723,22,Europe,Finance,2021-03-09 07:14:50,22636,social media,2021-08-17 06:07:36,1,372,82,31,18457.97,42201,technical,37,4
7076,157,cloud storage,2021-09-26 03:10:34,4407.97,15469,41,Europe,Retail,2020-12-13 19:49:18,21779,email marketing,2021-01-22 20:40:09,1,386,45,30,12767.32,47795,billing,18,1
8897,136,CRM software,2021-10-19 15:19:15,1142.87,13600,53,North America,Retail,2020-09-04 09:03:54,26406,email marketing,2021-08-04 13:33:42,8,395,95,39,6194.03,49932,technical,26,1
5174,135,CRM software,2022-01-10 14:10:48,3200.7,17361,48,Europe,Finance,2021-02-10 18:47:18,28822,social media,2021-05-26 04:34:04,1,386,59,10,19273.21,49012,billing,36,1
9543,179,cloud storage,2021-05-20 17:25:56,4086.11,12262,46,Europe,Finance,2020-02-17 10:11:54,26181,email marketing,2021-02-27 12:56:44,5,305,85,39,14279.69,47289,technical,18,5
5854,128,cloud storage,2021-03-14 11:46:21,4120.81,16842,62,North America,Finance,2020-01-30 10:09:59,22971,social media,2021-01-01 12:47:35,6,384,27,19,5870.51,42971,billing,6,5
2398,104,cloud storage,2022-08-05 00:20:14,1767.37,13920,49,South America,Technology,2021-07-01 06:16:42,21966,social media,2022-03-29 08:45:45,10,396,77,19,17563.75,46283,technical,11,1
6149,178,CRM software,2020-08-29 08:26:45,4270.27,19796,67,North America,Finance,2020-06-10 18:30:49,27008,email marketing,2020-06-16 07:15:04,3,398,57,38,16369.64,44329,billing,28,1
8292,193,cloud storage,2021-06-29 02:20:02,1553.76,13854,69,South America,Retail,2020-01-14 14:40:23,28357,social media,2020-01-30 03:10:41,4,327,62,38,19506.78,41068,billing,37,4
9369,136,cloud storage,2022-02-04 18:05:11,2368.68,11312,26,North America,Finance,2020-08-08 11:59:22,22431,email marketing,2020-11-05 16:57:14,10,335,76,43,14964.1,42048,billing,20,1
1746,160,cloud storage,2020-10-01 16:24:26,2146.05,11941,48,South America,Finance,2020-01-16 02:38:36,27405,social media,2020-09-17 19:07:48,4,328,31,38,14603.91,43564,billing,17,2
2006,104,cloud storage,2022-07-21 21:38:21,2965.32,11563,35,North America,Retail,2021-05-24 02:40:42,27149,email marketing,2022-05-09 11:52:57,2,315,88,13,5949.83,43937,technical,38,3
8568,101,cloud storage,2022-12-25 03:10:27,3365.91,10320,68,South America,Retail,2020-11-28 16:25:43,25523,email marketing,2022-08-22 07:12:49,10,350,45,32,5436.5,46329,billing,21,3
4120,155,CRM software,2021-06-10 04:02:56,3678.63,10736,37,North America,Finance,2021-01-11 12:05:28,29941,social media,2021-06-06 01:45:35,3,350,29,49,18937.07,45908,technical,36,4
